id,title,description,availability,condition,price,link,image_link,brand,google_product_category
ABBPS10,"Suman Steel Block Carpenter Plane 10-inch","High-grade industrial Suman Steel Block Carpenter Plane 10-inch. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,799.00 INR,https://abuzz.store/product/ABBPS10,https://cdn.abuzz.store/products/ABBPS10_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
AZGTIJP10,"GTI Steel Block Carpenter Plane 10-inch","High-grade industrial GTI Steel Block Carpenter Plane 10-inch. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,799.00 INR,https://abuzz.store/product/AZGTIJP10,https://cdn.abuzz.store/products/ABBPS10_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABBPS14,"Suman Steel Block Carpenter Plane 14-inch","High-grade industrial Suman Steel Block Carpenter Plane 14-inch. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,999.00 INR,https://abuzz.store/product/ABBPS14,https://cdn.abuzz.store/products/ABBPS14_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABBPS5,"Suman Steel Block Carpenter Plane 5-inch","High-grade industrial Suman Steel Block Carpenter Plane 5-inch. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,499.00 INR,https://abuzz.store/product/ABBPS5,https://cdn.abuzz.store/products/ABBPS5_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABBPS7,"Suman Steel Block Carpenter Plane 7-inch","High-grade industrial Suman Steel Block Carpenter Plane 7-inch. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,699.00 INR,https://abuzz.store/product/ABBPS7,https://cdn.abuzz.store/products/ABBPS7_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABBPSC5,"Suman Steel Block Carpenter Plane 5-inch with Blade","High-grade industrial Suman Steel Block Carpenter Plane 5-inch with Blade. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,699.00 INR,https://abuzz.store/product/ABBPSC5,https://cdn.abuzz.store/products/ABBPSC5_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABBPSC7,"Suman Steel Block Carpenter Plane 7-inch with Blade","High-grade industrial Suman Steel Block Carpenter Plane 7-inch with Blade. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,799.00 INR,https://abuzz.store/product/ABBPSC7,https://cdn.abuzz.store/products/ABBPSC7_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABPSC10,"Suman Steel Block Carpenter Plane 10-inch with Blade","High-grade industrial Suman Steel Block Carpenter Plane 10-inch with Blade. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,1199.00 INR,https://abuzz.store/product/ABPSC10,https://cdn.abuzz.store/products/ABPSC10_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
AZGTIJPB10,"GTI Steel Block Carpenter Plane 10-inch with Blade","High-grade industrial GTI Steel Block Carpenter Plane 10-inch with Blade. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,1199.00 INR,https://abuzz.store/product/AZGTIJPB10,https://cdn.abuzz.store/products/ABPSC10_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
ABPSC14,"Suman Steel Block Carpenter Plane 14-inch with Blade","High-grade industrial Suman Steel Block Carpenter Plane 14-inch with Blade. Precision manufactured for extreme durability, long service life, and BIS quality compliance in Indian hardware and construction operations.",in stock,new,1399.00 INR,https://abuzz.store/product/ABPSC14,https://cdn.abuzz.store/products/ABPSC14_img1.jpg,LXMI,"Business & Industrial > Industrial Supplies"
